Names,long,lat,A,B,C,D,E,F,Sample,Group,Label
F_CentralAsia_750016-17D.CanFam31.realigned.bam,56.43,63.47,1.00E-09,1.00E-09,1.00E-09,0.000195919,0.288279522,0.711524556,750016-17D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750016-17D.CanFam31.realigned.bam
F_CentralAsia_750114-25D.CanFam31.realigned.bam,46.21841342,75.77372513,1.00E-09,1.00E-09,1.00E-09,0.05996628,0.335995953,0.604037764,750114-25D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750114-25D.CanFam31.realigned.bam
F_CentralAsia_750117-28D.CanFam31.realigned.bam,50.25008284,75.03292196,1.00E-09,1.00E-09,1.00E-09,0.066235545,0.260068748,0.673695703,750117-28D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750117-28D.CanFam31.realigned.bam
F_CentralAsia_750119-30D.CanFam31.realigned.bam,48.40434145,79.8699309,1.00E-09,1.00E-09,1.00E-09,0.05776125,0.376770904,0.565467842,750119-30D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750119-30D.CanFam31.realigned.bam
F_CentralAsia_750125-33D.CanFam31.realigned.bam,53.32,48.06,1.00E-09,1.00E-09,1.00E-09,0.033068056,0.057646514,0.909285427,750125-33D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750125-33D.CanFam31.realigned.bam
F_CentralAsia_750282-35D.CanFam31.realigned.bam,56.5,64.59,1.00E-09,1.00E-09,1.00E-09,0.02936642,0.334319523,0.636314054,750282-35D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750282-35D.CanFam31.realigned.bam
F_CentralAsia_AW012.CanFam31.realigned.bam,35.21016332,70.68726168,0.011386393,0.023018338,0.006274641,0.291197814,0.156803328,0.511319486,AW012.CanFam31.realigned.bam,CentralAsia,CentralAsia_AW012.CanFam31.realigned.bam
E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam,34.56400156,76.15151074,1.00E-09,0.089227735,0.253894364,0.379712743,1.01E-06,0.277164148,BH1_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan,Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam,17.8263229,75.86523587,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,Indian,Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam,18.19709671,74.59082031,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,Indian,Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam,34.3973106,76.78150797,1.00E-09,0.102302092,0.438631392,0.293565885,1.00E-09,0.165500629,BH4_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan,Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam,26.27649942,73.01818138,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,Indian,Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
G_EastAsia_China_SRR20326479.CanFam31.bam,30.85875337,102.7913398,1.00E-09,0.063874188,0.5055056,1.00E-09,0.43062021,1.00E-09,China_SRR20326479.CanFam31.bam,EastAsia,EastAsia_China_SRR20326479.CanFam31.bam
F_CentralAsia_China_SRR20326483.merge.CanFam31.bam,45.91607353,88.19307235,0.003766743,0.011148698,1.00E-09,0.061185755,0.600078298,0.323820505,China_SRR20326483.merge.CanFam31.bam,CentralAsia,CentralAsia_China_SRR20326483.merge.CanFam31.bam
F_CentralAsia_China_SRR20326484.merge.CanFam31.bam,43.15226695,87.45226918,1.00E-09,1.00E-09,0.033587733,0.04813604,0.636484203,0.281792022,China_SRR20326484.merge.CanFam31.bam,CentralAsia,CentralAsia_China_SRR20326484.merge.CanFam31.bam
F_CentralAsia_China_SRR20326485.merge.CanFam31.bam,44.12983254,90.63336515,1.00E-09,1.00E-09,1.00E-09,0.07797196,0.676054741,0.245973296,China_SRR20326485.merge.CanFam31.bam,CentralAsia,CentralAsia_China_SRR20326485.merge.CanFam31.bam
F_CentralAsia_China_SRR20326486.merge.CanFam31.bam,42.90213297,86.07941029,1.00E-09,1.00E-09,0.002491082,0.061581509,0.617229026,0.31869838,China_SRR20326486.merge.CanFam31.bam,CentralAsia,CentralAsia_China_SRR20326486.merge.CanFam31.bam
G_EastAsia_China_SRR20326491.merge.CanFam31.bam,47.25093945,128.3917478,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,China_SRR20326491.merge.CanFam31.bam,EastAsia,EastAsia_China_SRR20326491.merge.CanFam31.bam
E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam,36.93283322,100.3292707,1.00E-09,1.00E-09,0.652707557,1.00E-09,0.347292439,1.00E-09,Chinese_CAN11.CanFam31.realigned.bam,Tibetan,Tibetan_Chinese_CAN11.CanFam31.realigned.bam
E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam,37.00305532,99.34049582,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN16.CanFam31.realigned.bam,Tibetan,Tibetan_Chinese_CAN16.CanFam31.realigned.bam
F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam,43.3,93.5,1.00E-09,1.00E-09,0.00958978,0.059595873,0.631558034,0.299256311,Chinese_CAN24.CanFam31.realigned.bam,CentralAsia,CentralAsia_Chinese_CAN24.CanFam31.realigned.bam
F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam,46.2,83.9,1.00E-09,0.000376834,0.021442988,0.045609,0.529900773,0.402670403,Chinese_CAN30.CanFam31.realigned.bam,CentralAsia,CentralAsia_Chinese_CAN30.CanFam31.realigned.bam
E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam,32.8034874,81.88760538,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN32.CanFam31.realigned.bam,Tibetan,Tibetan_Chinese_CAN32.CanFam31.realigned.bam
G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam,48.63554032,122.5668829,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,Chinese_CAN6.CanFam31.realigned.bam,EastAsia,EastAsia_Chinese_CAN6.CanFam31.realigned.bam
G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam,50.87782377,121.8637579,1.00E-09,1.00E-09,0.00452012,1.00E-09,0.995479876,1.00E-09,Chinese_CAN7.CanFam31.realigned.bam,EastAsia,EastAsia_Chinese_CAN7.CanFam31.realigned.bam
E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam,29.81259691,91.03483712,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN9A.CanFam31.realigned.bam,Tibetan,Tibetan_Chinese_CAN9A.CanFam31.realigned.bam
D_Pakistan_DGKhan_S19_10680.CanFam31.bam,29.552489,70.32489,1.00E-09,1.00E-09,1.00E-09,0.745227352,1.00E-09,0.254772644,DGKhan_S19_10680.CanFam31.bam,Pakistan,Pakistan_DGKhan_S19_10680.CanFam31.bam
H_Europe_IberianWolf.CanFam31.realigned.bam,42.660901,-4.029743,1.00E-09,0.243645134,1.00E-09,1.00E-09,1.00E-09,0.756354862,IberianWolf.CanFam31.realigned.bam,Europe,Europe_IberianWolf.CanFam31.realigned.bam
B_Indian_Indianwolf_BH123.merge.CanFam31.bam,17.82000355,75.98378064,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,Indianwolf_BH123.merge.CanFam31.bam,Indian,Indian_Indianwolf_BH123.merge.CanFam31.bam
B_Indian_Indianwolf_SRR13985171.CanFam31.bam,22.0438,72.0202,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,Indianwolf_SRR13985171.CanFam31.bam,Indian,Indian_Indianwolf_SRR13985171.CanFam31.bam
G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam,49.86888339,124.1489141,1.00E-09,0.000285905,6.19E-08,1.00E-09,0.99971403,1.00E-09,InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia,EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam
C_WestAsia_Iran_SAMC036723.CanFam31.bam,28,57,1.00E-09,0.089541804,1.00E-09,0.23782534,1.00E-09,0.672632853,Iran_SAMC036723.CanFam31.bam,WestAsia,WestAsia_Iran_SAMC036723.CanFam31.bam
C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam,36.48011146,50.28548283,0.012764565,0.008217303,1.36E-05,0.183962429,0.120990014,0.674052125,Iran_SRR20326408.merge.CanFam31.bam,WestAsia,WestAsia_Iran_SRR20326408.merge.CanFam31.bam
