Names,A1,A2,A3,A4,A5,A6,Sample,Group
D_Pakistan_Karakoram_S19_10678.CanFam31.bam,1.00E-09,1.00E-09,0.06555687,0.345314846,0.188702584,0.400425698,Karakoram_S19_10678.CanFam31.bam,Pakistan
D_Pakistan_Karakoram_S19_10679.CanFam31.bam,1.00E-09,1.00E-09,0.019155415,0.408070803,0.226908379,0.345865401,Karakoram_S19_10679.CanFam31.bam,Pakistan
D_Pakistan_DGKhan_S19_10680.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.745227352,1.00E-09,0.254772644,DGKhan_S19_10680.CanFam31.bam,Pakistan
D_Pakistan_S21_1037_Kolhu.CanFam31.bam,1.00E-09,0.028988006,0.001265056,0.659996029,1.00E-09,0.309750906,S21_1037_Kolhu.CanFam31.bam,Pakistan
D_Pakistan_S21_1038_Chitral.CanFam31.bam,1.00E-09,1.00E-09,0.034165683,0.318934255,0.249985351,0.396914709,S21_1038_Chitral.CanFam31.bam,Pakistan
D_Pakistan_S21_1039_Punjab.CanFam31.bam,1.00E-09,0.015121405,1.00E-09,0.465597151,0.065981463,0.453299979,S21_1039_Punjab.CanFam31.bam,Pakistan
D_Pakistan_S21_1041_Waziristan.CanFam31.bam,1.00E-09,0.00401382,0.02354302,0.455227175,0.121001219,0.396214765,S21_1041_Waziristan.CanFam31.bam,Pakistan
D_Pakistan_S21_1042_Chitral.CanFam31.bam,1.00E-09,1.00E-09,0.014833056,0.41594679,0.122602303,0.446617848,S21_1042_Chitral.CanFam31.bam,Pakistan
F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam,1.00E-09,1.00E-09,0.090267054,0.102236386,0.493164228,0.314332329,Kyrgyz_WLF179.CanFam31.bam,CentralAsia
F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam,0.000240057,1.00E-09,0.03483379,0.084269892,0.489439683,0.391216577,Kyrgyz_WLF180.CanFam31.bam,CentralAsia
B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_SRR13985171.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,Indianwolf_SRR13985171.CanFam31.bam,Indian
B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_BH123.merge.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,Indianwolf_BH123.merge.CanFam31.bam,Indian
E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam,1.00E-09,1.00E-09,0.715915135,1.00E-09,0.284084861,1.00E-09,MYL_Tibetan_SAMN12565073.CanFam31.bam,Tibetan
E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam,1.00E-09,0.089227735,0.253894364,0.379712743,1.01E-06,0.277164148,BH1_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan
E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam,1.00E-09,0.102302092,0.438631392,0.293565885,1.00E-09,0.165500629,BH4_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN9A.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.652707557,1.00E-09,0.347292439,1.00E-09,Chinese_CAN11.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN16.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN32.CanFam31.realigned.bam,Tibetan
C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam,1.00E-09,0.08451959,1.00E-09,0.238039417,1.00E-09,0.67744099,Iranwolf_SRR12009566.CanFam31.bam,WestAsia
C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam,0.019367593,0.0955427,0.023250789,0.145441594,0.000000001,0.716397323,Iranwolf_SRR12009567.CanFam31.bam,WestAsia
C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam,0.008692102,0.023954134,5.57E-07,0.221012033,0.014689858,0.731651316,Iranwolf_SRR12009568.merge.CanFam31.bam,WestAsia
C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam,0.016223038,0.067138551,1.00E-09,0.181489274,1.00E-09,0.735149136,S21_2743_SaudiArabia.CanFam31.bam,WestAsia
C_WestAsia_IranWolf.CanFam31.realigned.bam,0.027004598,0.031103052,0.031738553,0.173519001,0.055178206,0.68145659,IranWolf.CanFam31.realigned.bam,WestAsia
C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam,0.08999712,0.035459891,1.00E-09,0.184939169,1.00E-09,0.689603819,Saudi_wolf_B1.CanFam31.realigned.bam,WestAsia
C_WestAsia_Syrian_wolf.CanFam31.realigned.bam,0.072264756,0.080523678,1.00E-09,0.196016861,1.00E-09,0.651194704,Syrian_wolf.CanFam31.realigned.bam,WestAsia
C_WestAsia_Lebanonwolf.CanFam31.bam,0.034751959,0.052530965,1.00E-09,0.209856803,1.00E-09,0.702860271,Lebanonwolf.CanFam31.bam,WestAsia
C_WestAsia_Iran_SAMC036723.CanFam31.bam,1.00E-09,0.089541804,1.00E-09,0.23782534,1.00E-09,0.672632853,Iran_SAMC036723.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam,0.01153204,0.00280009,0.022145871,0.172413342,0.127646773,0.663461883,Iran_SRR20326411.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam,0.015740796,0.293978249,0.000000001,0.10243604,0.03318004,0.554664874,Iran_SRR20326410.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam,0.012764565,0.008217303,1.36E-05,0.183962429,0.120990014,0.674052125,Iran_SRR20326408.merge.CanFam31.bam,WestAsia
C_WestAsia_MW387.CanFam31.realigned.bam,0.003482022,0.051170406,0.000000001,0.177587297,0.049531618,0.718228656,MW387.CanFam31.realigned.bam,WestAsia
H_Europe_PortugueseWolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,PortugueseWolf.CanFam31.realigned.bam,Europe
H_Europe_IberianWolf.CanFam31.realigned.bam,1.00E-09,0.243645134,1.00E-09,1.00E-09,1.00E-09,0.756354862,IberianWolf.CanFam31.realigned.bam,Europe
H_Europe_wSierraMorena.CanFam31.realigned.bam,1.00E-09,0.47776299,1.00E-09,1.00E-09,1.00E-09,0.522237006,wSierraMorena.CanFam31.realigned.bam,Europe
H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,1.00E-09,1.66E-07,1.00E-09,1.00E-09,1.00E-09,0.99999983,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,Europe
H_Europe_MW005.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW005.CanFam31.realigned.bam,Europe
H_Europe_MW347.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW347.CanFam31.realigned.bam,Europe
H_Europe_MW020.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW020.CanFam31.realigned.bam,Europe
H_Europe_MW045.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW045.CanFam31.realigned.bam,Europe
H_Europe_MW062.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW062.CanFam31.realigned.bam,Europe
H_Europe_MW515.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW515.CanFam31.realigned.bam,Europe
H_Europe_MW707A.CanFam31.realigned.bam,1.00E-09,0.047385958,1.00E-09,1.00E-09,1.00E-09,0.952614038,MW707A.CanFam31.realigned.bam,Europe
H_Europe_MW703A.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW703A.CanFam31.realigned.bam,Europe
H_Europe_MW706A.CanFam31.realigned.bam,1.00E-09,0.000547451,1.00E-09,1.00E-09,1.00E-09,0.999452545,MW706A.CanFam31.realigned.bam,Europe
H_Europe_MW1126.CanFam31.realigned.bam,1.00E-09,0.01313222,1.00E-09,1.00E-09,1.00E-09,0.986867776,MW1126.CanFam31.realigned.bam,Europe
H_Europe_MW1135.CanFam31.realigned.bam,1.00E-09,0.015860659,1.00E-09,1.00E-09,0.032128902,0.952010436,MW1135.CanFam31.realigned.bam,Europe
H_Europe_MW336.CanFam31.realigned.bam,1.00E-09,8.16E-06,1.00E-09,1.00E-09,1.00E-09,0.999991832,MW336.CanFam31.realigned.bam,EastAsia
H_Europe_MW339.CanFam31.realigned.bam,1.00E-09,0.054942979,1.00E-09,1.00E-09,1.00E-09,0.945057017,MW339.CanFam31.realigned.bam,Europe
H_Europe_MW055.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW055.CanFam31.realigned.bam,Europe
H_Europe_Wang_GW3.CanFam31.realigned.bam,1.00E-09,0.014421475,0.001131543,1.00E-09,0.087344318,0.897102662,Wang_GW3.CanFam31.realigned.bam,Europe
F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.00958978,0.059595873,0.631558034,0.299256311,Chinese_CAN24.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam,1.00E-09,0.000376834,0.021442988,0.045609,0.529900773,0.402670403,Chinese_CAN30.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Wang_GW1.CanFam31.realigned.bam,1.00E-09,0.037094,0.021622375,0.02907152,0.586927351,0.325284753,Wang_GW1.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam,1.00E-09,0.441772395,1.00E-09,0.011242352,0.304316484,0.242668767,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam,1.00E-09,0.013916365,1.00E-09,0.077982446,0.702281459,0.205819728,Kazakhstan_SRR20326405.CanFam31.bam,CentralAsia
F_CentralAsia_AW012.CanFam31.realigned.bam,0.011386393,0.023018338,0.006274641,0.291197814,0.156803328,0.511319486,AW012.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam,0.005982079,1.00E-09,0.012698025,0.044488526,0.616423209,0.320408161,Russia_SRR20326404.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam,2.74E-06,1.00E-09,0.001570235,0.021325319,0.675455379,0.301646327,Russia_SRR20326403.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326401.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.832786864,0.167213132,Russia_SRR20326401.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam,1.00E-09,0.003207178,0.025464069,1.00E-09,0.919544489,0.051784261,Russia_SRR20326400.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam,0.018630553,0.047714652,0.000000001,0.073214295,0.224134397,0.636306103,Russia_SRR20326388.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam,1.00E-09,1.00E-09,0.034796141,0.191924321,0.469348603,0.303930934,Tajikistan_SRR20326385.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam,1.00E-09,1.00E-09,0.100142116,0.15337798,0.462544188,0.283935714,Tajikistan_SRR20326384.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam,1.00E-09,1.00E-09,0.015030527,0.116817697,0.582786518,0.285365256,Tajikisan_SRR20326383.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam,1.00E-09,1.00E-09,0.079233338,0.164444588,0.443510671,0.312811401,Tajikistan_SRR20326382.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam,1.00E-09,1.00E-09,0.061879455,0.154088288,0.468627414,0.315404842,Tajikistan_SRR20326381.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam,1.00E-09,1.00E-09,0.010256344,0.157432184,0.553335763,0.278975707,Tajikistan_SRR20326251.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam,1.00E-09,1.00E-09,0.18749724,0.135296224,0.418177411,0.259029123,Tajikistan_SRR20326250.merge.CanFam31.bam,CentralAsia
